date,total_viajes,total_ecologicos,total_tradicionales,porcentaje_ecologicos,porcentaje_tradicionales,promedio_precio_ecologico,promedio_precio_tradicional,promedio_velocidad_ecologica,promedio_velocidad_tradicional
2021-06-09,97442,1710,95732,1.75,98.25,17.03,17.98,0.19,0.25
2021-06-08,92629,1595,91034,1.72,98.28,16.98,18.04,0.18,0.37
2021-06-07,86583,1606,84977,1.85,98.15,17.1,17.92,0.2,0.32
2021-06-06,75029,1123,73906,1.5,98.5,16.49,18.37,0.23,0.41
2021-06-05,96011,1647,94364,1.72,98.28,16.48,17.75,0.2,0.73
2021-06-04,93331,1781,91550,1.91,98.09,17.39,18.3,0.2,0.34
2021-06-03,94380,1795,92585,1.9,98.1,17.23,18.0,0.23,0.33
2021-06-02,90518,1762,88756,1.95,98.05,17.82,18.1,0.22,0.27
2021-06-01,83726,1714,82012,2.05,97.95,17.14,18.18,0.2,0.51
2021-05-31,54672,1265,53407,2.31,97.69,16.44,18.82,0.24,0.68
2021-05-30,52877,991,51886,1.87,98.13,16.11,17.84,0.25,0.6
2021-05-29,63443,1381,62062,2.18,97.82,16.09,17.19,0.23,0.69
2021-05-28,85654,1811,83843,2.11,97.89,16.94,18.18,1.73,0.69
2021-05-27,90181,1809,88372,2.01,97.99,17.3,18.43,0.19,0.56
2021-05-26,91318,1726,89592,1.89,98.11,17.86,18.1,0.19,0.25
2021-05-25,86804,1620,85184,1.87,98.13,17.49,17.94,0.19,0.3
2021-05-24,79127,1481,77646,1.87,98.13,17.43,17.78,0.21,0.64
2021-05-23,69451,1188,68263,1.71,98.29,16.22,18.07,0.23,0.37
2021-05-22,91752,1640,90112,1.79,98.21,16.54,17.59,0.21,0.35
2021-05-21,92757,1703,91054,1.84,98.16,17.56,18.16,0.26,0.51
2021-05-20,90641,1638,89003,1.81,98.19,17.3,18.31,0.19,0.58
2021-05-19,88989,1681,87308,1.89,98.11,17.99,17.99,0.19,0.31
2021-05-18,82844,1452,81392,1.75,98.25,17.72,17.59,0.2,0.56
2021-05-17,72200,1495,70705,2.07,97.93,16.84,17.64,0.21,0.3
2021-05-16,64491,1140,63351,1.77,98.23,16.39,18.35,0.29,1.36
2021-05-15,87284,1463,85821,1.68,98.32,16.28,17.75,0.21,0.75
2021-05-14,90482,1570,88912,1.74,98.26,17.24,18.24,0.19,0.36
2021-05-13,80331,1202,79129,1.5,98.5,17.77,18.06,0.2,0.52
2021-05-12,85214,1512,83702,1.77,98.23,17.24,17.86,0.2,0.51
2021-05-11,81868,1427,80441,1.74,98.26,17.56,17.86,0.19,0.76
2021-05-10,72564,1413,71151,1.95,98.05,17.77,17.9,0.22,0.35
2021-05-09,62661,1104,61557,1.76,98.24,15.62,17.93,0.24,0.47
2021-05-08,78585,1302,77283,1.66,98.34,16.12,17.12,0.22,0.46
2021-05-07,90448,1597,88851,1.77,98.23,17.56,18.08,0.2,1.54
2021-05-06,86672,1572,85100,1.81,98.19,17.32,18.08,0.19,0.83
2021-05-05,85452,1448,84004,1.69,98.31,16.91,17.55,0.19,0.43
2021-05-04,79174,1364,77810,1.72,98.28,17.7,17.51,0.2,0.47
2021-05-03,73544,1421,72123,1.93,98.07,17.27,17.7,0.21,1.28
2021-05-02,59302,1018,58284,1.72,98.28,16.97,17.98,0.24,0.49
2021-05-01,79209,1320,77889,1.67,98.33,16.41,17.29,0.24,0.77
2021-04-30,87382,1538,85844,1.76,98.24,17.53,17.91,0.25,0.34
2021-04-29,80395,1465,78930,1.82,98.18,17.84,17.91,0.2,0.33
2021-04-28,82046,1588,80458,1.94,98.06,17.36,17.69,2.76,1.38
2021-04-27,75013,1395,73618,1.86,98.14,17.49,17.57,0.2,0.54
2021-04-26,68565,1361,67204,1.98,98.02,17.5,17.79,0.2,0.61
2021-04-25,47959,917,47042,1.91,98.09,16.73,17.81,0.24,0.52
2021-04-24,77501,1324,76177,1.71,98.29,16.55,17.47,0.21,0.8
2021-04-23,82948,1534,81414,1.85,98.15,17.49,17.73,0.2,0.6
2021-04-22,82814,1580,81234,1.91,98.09,17.07,17.39,0.2,0.67
2021-04-21,77962,1473,76489,1.89,98.11,17.18,17.37,0.31,0.82
2021-04-20,77030,1395,75635,1.81,98.19,18.47,17.77,0.21,0.49
2021-04-19,66066,1282,64784,1.94,98.06,17.21,17.61,0.21,0.52
2021-04-18,52715,989,51726,1.88,98.12,16.23,17.83,0.24,0.46
2021-04-17,72856,1280,71576,1.76,98.24,16.35,17.21,0.23,0.44
2021-04-16,80812,1475,79337,1.83,98.17,17.51,17.87,0.21,0.39
2021-04-15,78847,1460,77387,1.85,98.15,17.2,17.55,0.2,0.45
2021-04-14,75785,1502,74283,1.98,98.02,18.02,17.52,0.21,0.53
2021-04-13,72547,1362,71185,1.88,98.12,17.4,17.71,0.21,2.28
2021-04-12,68439,1343,67096,1.96,98.04,17.53,17.47,0.2,0.39
2021-04-11,46230,810,45420,1.75,98.25,16.04,17.46,0.24,0.3
2021-04-10,67382,1318,66064,1.96,98.04,16.89,17.17,0.3,0.32
2021-04-09,77241,1528,75713,1.98,98.02,17.15,17.75,0.19,0.58
2021-04-08,76088,1554,74534,2.04,97.96,17.61,17.85,0.29,0.53
2021-04-07,73265,1418,71847,1.94,98.06,16.71,17.63,0.2,0.4
2021-04-06,69211,1480,67731,2.14,97.86,17.0,17.75,0.21,0.28
2021-04-05,61418,1255,60163,2.04,97.96,18.13,17.87,0.21,0.46
2021-04-04,45071,900,44171,2.0,98.0,17.14,18.0,0.25,0.55
2021-04-03,60856,1221,59635,2.01,97.99,16.7,17.02,0.23,0.37
2021-04-02,71041,1397,69644,1.97,98.03,16.42,17.16,0.21,0.27
2021-04-01,71312,1516,69796,2.13,97.87,17.07,17.34,0.21,0.5
2021-03-31,66529,1425,65104,2.14,97.86,16.28,17.31,0.21,0.26
2021-03-30,65524,1347,64177,2.06,97.94,17.14,17.5,0.22,0.27
2021-03-29,57150,1168,55982,2.04,97.96,17.15,17.33,0.23,0.35
2021-03-28,39352,791,38561,2.01,97.99,16.83,17.48,0.24,0.33
2021-03-27,66311,1251,65060,1.89,98.11,15.99,17.23,0.24,0.26
2021-03-26,72160,1405,70755,1.95,98.05,16.85,17.59,0.26,0.34
2021-03-25,68568,1384,67184,2.02,97.98,17.48,17.33,0.21,0.26
2021-03-24,67628,1348,66280,1.99,98.01,16.62,17.05,0.2,0.29
2021-03-23,62463,1245,61218,1.99,98.01,16.83,17.2,0.2,0.3
2021-03-22,58691,1237,57454,2.11,97.89,17.26,17.41,0.33,0.38
2021-03-21,44029,935,43094,2.12,97.88,15.64,17.68,0.47,0.32
2021-03-20,60517,1292,59225,2.13,97.87,16.64,16.93,0.38,0.36
2021-03-19,73213,1402,71811,1.91,98.09,17.25,17.1,0.2,0.26
2021-03-18,70484,1369,69115,1.94,98.06,16.85,17.11,0.25,0.28
2021-03-17,70329,1323,69006,1.88,98.12,16.71,16.85,0.28,0.38
2021-03-16,64489,1242,63247,1.93,98.07,16.44,17.03,0.21,0.31
2021-03-15,60396,1221,59175,2.02,97.98,17.32,16.9,0.22,0.45
2021-03-14,42849,790,42059,1.84,98.16,15.64,16.99,0.28,0.33
2021-03-13,60029,1157,58872,1.93,98.07,16.44,16.71,0.26,0.28
2021-03-12,70523,1367,69156,1.94,98.06,17.02,17.45,0.2,0.29
2021-03-11,67279,1406,65873,2.09,97.91,17.49,17.27,0.2,0.27
2021-03-10,63759,1476,62283,2.31,97.69,17.22,17.18,0.21,0.39
2021-03-09,61294,1390,59904,2.27,97.73,17.46,17.1,0.21,0.52
2021-03-08,55365,1315,54050,2.38,97.62,17.05,17.27,0.22,0.49
2021-03-07,38153,870,37283,2.28,97.72,15.32,17.31,0.23,0.39
2021-03-06,54432,1267,53165,2.33,97.67,15.71,16.41,0.23,0.48
2021-03-05,68590,1484,67106,2.16,97.84,16.79,17.12,0.2,0.28
2021-03-04,66295,1428,64867,2.15,97.85,16.57,16.92,0.2,0.44
2021-03-03,62344,1362,60982,2.18,97.82,17.4,17.04,0.2,0.35
2021-03-02,61003,1305,59698,2.14,97.86,16.67,16.82,0.2,0.36
2021-03-01,53874,1211,52663,2.25,97.75,17.41,17.12,0.21,0.86
2021-02-28,36898,910,35988,2.47,97.53,15.67,17.04,0.23,0.41
2021-02-27,48323,1141,47182,2.36,97.64,15.92,16.52,0.22,0.32
2021-02-26,64022,1509,62513,2.36,97.64,17.5,17.2,0.19,0.4
2021-02-25,61171,1406,59765,2.3,97.7,17.82,17.51,0.19,0.31
2021-02-24,59090,1383,57707,2.34,97.66,17.4,17.24,0.2,0.46
2021-02-23,56363,1279,55084,2.27,97.73,17.55,17.12,0.2,0.28
2021-02-22,49943,1194,48749,2.39,97.61,16.86,17.08,0.22,0.32
2021-02-21,36407,891,35516,2.45,97.55,16.59,16.97,0.24,0.32
2021-02-20,50702,1192,49510,2.35,97.65,15.37,16.38,0.24,0.39
2021-02-19,52385,1285,51100,2.45,97.55,16.74,16.49,0.25,0.29
2021-02-18,37408,768,36640,2.05,97.95,16.22,16.59,0.33,0.32
2021-02-17,59271,1353,57918,2.28,97.72,17.84,17.21,0.2,0.32
2021-02-16,50432,1254,49178,2.49,97.51,17.44,17.26,0.25,0.4
2021-02-15,39710,1083,38627,2.73,97.27,15.72,16.52,0.23,0.38
2021-02-14,38999,935,38064,2.4,97.6,16.07,16.79,0.23,0.29
2021-02-13,47851,1256,46595,2.62,97.38,17.07,16.41,0.24,0.48
2021-02-12,62800,1574,61226,2.51,97.49,17.49,17.33,0.19,0.3
2021-02-11,57969,1379,56590,2.38,97.62,18.04,17.19,0.2,0.26
2021-02-10,57152,1429,55723,2.5,97.5,17.69,17.41,0.25,0.33
2021-02-09,51922,1270,50652,2.45,97.55,17.31,17.08,0.23,0.31
2021-02-08,50874,1294,49580,2.54,97.46,17.64,17.14,0.21,0.44
2021-02-07,26895,569,26326,2.12,97.88,15.68,16.76,0.25,0.68
2021-02-06,49388,1238,48150,2.51,97.49,16.36,16.59,0.21,0.32
2021-02-05,56927,1446,55481,2.54,97.46,17.8,17.51,0.19,0.27
2021-02-04,58346,1310,57036,2.25,97.75,17.9,18.25,0.18,0.27
2021-02-03,54549,1190,53359,2.18,97.82,16.9,17.57,0.21,0.26
2021-02-02,28527,698,27829,2.45,97.55,15.65,16.42,0.22,0.39
2021-02-01,6347,115,6232,1.81,98.19,15.81,17.8,0.2,0.63
2021-01-31,30746,847,29899,2.75,97.25,15.61,16.56,0.23,0.5
2021-01-30,38783,1094,37689,2.82,97.18,16.02,16.22,0.23,0.34
2021-01-29,54214,1453,52761,2.68,97.32,16.46,16.67,0.2,0.52
2021-01-28,56110,1478,54632,2.63,97.37,16.24,16.76,0.2,0.74
2021-01-27,52264,1373,50891,2.63,97.37,17.01,16.68,0.21,0.26
2021-01-26,47451,1191,46260,2.51,97.49,16.71,16.5,0.22,0.33
2021-01-25,46733,1208,45525,2.58,97.42,16.89,16.77,0.22,0.26
2021-01-24,30581,815,29766,2.67,97.33,16.06,17.0,0.25,0.37
2021-01-23,41733,1204,40529,2.89,97.11,15.98,16.14,0.28,0.36
2021-01-22,53719,1428,52291,2.66,97.34,16.76,16.8,0.2,0.27
2021-01-21,52896,1374,51522,2.6,97.4,16.61,17.0,0.21,0.25
2021-01-20,49077,1254,47823,2.56,97.44,16.56,16.53,0.23,0.43
2021-01-19,50426,1315,49111,2.61,97.39,16.61,16.88,0.23,0.33
2021-01-18,36483,905,35578,2.48,97.52,16.4,16.76,0.24,0.29
2021-01-17,31419,781,30638,2.49,97.51,16.33,17.22,0.32,0.42
2021-01-16,38312,1143,37169,2.98,97.02,15.86,16.63,0.23,0.7
2021-01-15,52269,1382,50887,2.64,97.36,17.18,16.97,0.33,0.28
2021-01-14,52290,1411,50879,2.7,97.3,17.15,16.9,0.23,0.31
2021-01-13,50688,1334,49354,2.63,97.37,16.29,16.59,0.21,0.41
2021-01-12,49538,1365,48173,2.76,97.24,17.09,16.83,0.23,0.27
2021-01-11,46250,1387,44863,3.0,97.0,16.36,16.86,0.22,0.48
2021-01-10,29252,840,28412,2.87,97.13,14.71,17.45,0.23,0.56
2021-01-09,39253,1136,38117,2.89,97.11,15.98,16.63,0.23,0.49
2021-01-08,49820,1400,48420,2.81,97.19,16.55,16.74,8.56,0.29
2021-01-07,49470,1301,48169,2.63,97.37,17.12,16.98,0.24,0.31
2021-01-06,48778,1378,47400,2.83,97.17,16.13,16.78,0.22,0.46
2021-01-05,46084,1278,44806,2.77,97.23,16.02,17.03,0.22,0.39
2021-01-04,43716,1322,42394,3.02,96.98,16.14,17.45,0.22,0.35
2021-01-03,25409,716,24693,2.82,97.18,15.72,18.77,0.25,0.62
2021-01-02,33717,1113,32604,3.3,96.7,15.26,17.93,0.26,0.34
2021-01-01,23976,535,23441,2.23,97.77,16.22,17.96,0.26,0.41
